name,n,H_est,slope
AAPL,3772,0.059929880098333256,0.11985976019666651
AMZN,3772,0.07290323920422441,0.14580647840844882
BAC,3772,0.057935315603343744,0.11587063120668749
CSCO,3772,0.056323448669645865,0.11264689733929173
CVX,3772,0.0758333285430902,0.1516666570861804
DIS,3772,0.05815006393185185,0.1163001278637037
GOOGL,3772,0.060458841138311535,0.12091768227662307
GSPC,3772,0.09356221938994755,0.1871244387798951
HD,3772,0.0611218025088537,0.1222436050177074
IBM,3772,0.0601383802889893,0.1202767605779786
INTC,3772,0.05554608508415748,0.11109217016831496
JNJ,3772,0.05252801409490146,0.10505602818980292
JPM,3772,0.05953607647366098,0.11907215294732196
KO,3772,0.05834851704708365,0.1166970340941673
MCD,3772,0.053466197527669505,0.10693239505533901
META,3555,0.06274205609187601,0.12548411218375202
MSFT,3772,0.06560707000278237,0.13121414000556475
NKE,3772,0.04773605062901717,0.09547210125803433
NVDA,3772,0.057282849781021335,0.11456569956204267
PFE,3772,0.056662090717842985,0.11332418143568597
PG,3772,0.05511155001800832,0.11022310003601664
T,3772,0.049612851605078334,0.09922570321015667
UNH,3772,0.05168363311624563,0.10336726623249126
VZ,3772,0.04716806138522191,0.09433612277044381
WMT,3772,0.05312557339331634,0.10625114678663268
XOM,3772,0.07144325372183845,0.1428865074436769
